06-23 09:23:24: Training starting...
06-23 09:23:26: New best reward -5.7 (-100.0%) at episode 0, saving model...
06-23 09:23:26: New best reward -2.7 (-52.6%) at episode 5, saving model...
06-23 09:23:33: New best reward -2.1 (-22.2%) at episode 639, saving model...
06-23 09:23:33: New best reward -0.3 (-85.7%) at episode 652, saving model...
06-23 09:23:35: New best reward 0.3 (-200.0%) at episode 940, saving model...
06-23 09:23:36: New best reward 1.5 (+400.0%) at episode 1085, saving model...
06-23 09:23:41: New best reward 2.1 (+40.0%) at episode 1580, saving model...
06-23 09:23:41: New best reward 3.9 (+85.7%) at episode 1588, saving model...
06-23 09:24:26: New best reward 4.2 (+7.7%) at episode 6338, saving model...
06-23 09:25:00: New best reward 4.7 (+11.9%) at episode 9718, saving model...
06-23 09:25:05: New best reward 4.9 (+4.3%) at episode 10187, saving model...
06-23 09:25:24: New best reward 6.2 (+26.5%) at episode 11979, saving model...
06-23 09:25:49: New best reward 6.6 (+6.5%) at episode 14200, saving model...
06-23 09:26:59: New best reward 6.7 (+1.5%) at episode 19017, saving model...
06-23 09:27:07: New best reward 6.8 (+1.5%) at episode 19476, saving model...
06-23 09:27:09: New best reward 8.4 (+23.5%) at episode 19630, saving model...
06-23 10:22:41: New best reward 9.3 (+10.7%) at episode 150829, saving model...
06-23 10:22:45: New best reward 12.9 (+38.7%) at episode 151015, saving model...
06-23 10:22:58: New best reward 13.2 (+2.3%) at episode 151580, saving model...
06-23 10:23:00: New best reward 13.6 (+3.0%) at episode 151633, saving model...
06-23 10:24:11: New best reward 13.9 (+2.2%) at episode 154739, saving model...
06-23 10:24:15: New best reward 18.3 (+31.7%) at episode 154904, saving model...
06-23 10:24:51: New best reward 22.8 (+24.6%) at episode 156352, saving model...
06-23 10:25:07: New best reward 23.2 (+1.8%) at episode 157019, saving model...
06-23 10:25:26: New best reward 23.3 (+0.4%) at episode 157722, saving model...
06-23 10:25:34: New best reward 27.4 (+17.6%) at episode 158006, saving model...
06-23 10:25:52: New best reward 31.9 (+16.4%) at episode 158645, saving model...
06-23 10:25:55: New best reward 45.9 (+43.9%) at episode 158792, saving model...
06-23 10:26:05: New best reward 50.4 (+9.8%) at episode 159148, saving model...
06-23 10:27:54: New best reward 54.9 (+8.9%) at episode 163224, saving model...
06-23 10:28:27: New best reward 57.1 (+4.0%) at episode 164229, saving model...
06-23 10:28:38: New best reward 57.3 (+0.4%) at episode 164614, saving model...
06-23 10:30:35: New best reward 73.9 (+29.0%) at episode 168238, saving model...
06-23 10:34:07: New best reward 116.1 (+57.1%) at episode 174288, saving model...
06-23 10:37:56: New best reward 118.2 (+1.8%) at episode 180618, saving model...
06-23 11:13:22: New best reward 120.4 (+1.9%) at episode 238971, saving model...
06-23 11:22:22: New best reward 158.8 (+31.9%) at episode 248032, saving model...
06-23 11:49:35: New best reward 190.4 (+19.9%) at episode 287154, saving model...
06-23 12:46:17: New best reward 211.1 (+10.9%) at episode 364437, saving model...
06-23 14:33:42: New best reward 218.4 (+3.5%) at episode 481231, saving model...
06-23 16:43:20: New best reward 272.8 (+24.9%) at episode 548802, saving model...
