06-19 04:30:19: Training starting...
06-19 04:30:24: New best reward -8.1 (-100.0%) at episode 10000, saving model...
06-19 04:30:25: New best reward -6.3 (-22.2%) at episode 10002, saving model...
06-19 04:30:25: New best reward -5.7 (-9.5%) at episode 10007, saving model...
06-19 04:30:25: New best reward -5.1 (-10.5%) at episode 10011, saving model...
06-19 04:30:25: New best reward -4.5 (-11.8%) at episode 10080, saving model...
06-19 04:30:26: New best reward -2.7 (-40.0%) at episode 10212, saving model...
06-19 04:30:29: New best reward 2.1 (-177.8%) at episode 10530, saving model...
06-19 04:30:57: New best reward 3.9 (+85.7%) at episode 13261, saving model...
06-19 04:31:52: New best reward 4.0 (+2.6%) at episode 17906, saving model...
06-19 04:32:12: New best reward 4.6 (+15.0%) at episode 19466, saving model...
06-19 04:32:51: New best reward 4.7 (+2.2%) at episode 22383, saving model...
06-19 04:33:06: New best reward 8.4 (+78.7%) at episode 23469, saving model...
06-19 04:34:01: New best reward 11.1 (+32.1%) at episode 27246, saving model...
06-19 05:08:30: New best reward 12.9 (+16.2%) at episode 132169, saving model...
06-19 05:09:09: New best reward 20.8 (+61.2%) at episode 133717, saving model...
06-19 05:09:48: New best reward 22.4 (+7.7%) at episode 135137, saving model...
06-19 05:10:17: New best reward 26.9 (+20.1%) at episode 136183, saving model...
06-19 05:12:05: New best reward 27.1 (+0.7%) at episode 139997, saving model...
06-19 05:18:33: New best reward 28.0 (+3.3%) at episode 153610, saving model...
06-19 05:18:37: New best reward 28.1 (+0.4%) at episode 153771, saving model...
06-19 05:18:49: New best reward 29.2 (+3.9%) at episode 154123, saving model...
06-19 05:21:08: New best reward 32.1 (+9.9%) at episode 158764, saving model...
06-19 05:22:36: New best reward 33.0 (+2.8%) at episode 161469, saving model...
06-19 05:22:57: New best reward 36.4 (+10.3%) at episode 162102, saving model...
06-19 05:23:10: New best reward 37.0 (+1.6%) at episode 162538, saving model...
06-19 05:23:55: New best reward 37.5 (+1.4%) at episode 163839, saving model...
06-19 05:24:10: New best reward 38.6 (+2.9%) at episode 164344, saving model...
06-19 05:27:55: New best reward 45.9 (+18.9%) at episode 170820, saving model...
06-19 05:29:51: New best reward 46.5 (+1.3%) at episode 174135, saving model...
06-19 05:33:29: New best reward 50.4 (+8.4%) at episode 180085, saving model...
06-19 05:40:12: New best reward 54.9 (+8.9%) at episode 190520, saving model...
06-19 05:41:02: New best reward 55.1 (+0.4%) at episode 191861, saving model...
06-19 05:42:24: New best reward 55.9 (+1.5%) at episode 193822, saving model...
06-19 05:42:31: New best reward 64.4 (+15.2%) at episode 193993, saving model...
06-19 05:45:14: New best reward 78.4 (+21.7%) at episode 197799, saving model...
06-19 05:56:13: New best reward 88.3 (+12.6%) at episode 211342, saving model...
06-19 06:02:25: New best reward 97.0 (+9.9%) at episode 218645, saving model...
06-19 06:02:26: New best reward 124.9 (+28.8%) at episode 218659, saving model...
06-19 06:27:37: New best reward 146.4 (+17.2%) at episode 246654, saving model...
06-19 07:24:20: New best reward 162.4 (+10.9%) at episode 300534, saving model...
06-19 08:08:28: New best reward 166.9 (+2.8%) at episode 335246, saving model...
06-19 08:15:42: New best reward 195.1 (+16.9%) at episode 340743, saving model...
06-19 09:34:17: New best reward 202.1 (+3.6%) at episode 396191, saving model...
06-19 09:45:12: New best reward 278.9 (+38.0%) at episode 403527, saving model...
